时间,测试次数,测试结果,直播加载时长,直播保持时长
2023-12-21-02_36_22,33,直播成功,10.693266153335571,480.1357047557831
2023-12-21-02_44_48,34,直播成功,10.748712539672852,480.20120191574097
2023-12-21-02_53_14,35,直播成功,9.537320852279663,481.1834354400635
2023-12-21-03_01_40,36,直播成功,10.700991868972778,480.6285798549652
2023-12-21-03_10_07,37,直播成功,11.719603776931763,480.0177490711212
2023-12-21-03_18_32,38,直播失败,10.677533626556396,478.78150725364685
2023-12-21-03_26_58,39,直播成功,9.601039409637451,480.9718322753906
2023-12-21-03_35_23,40,直播成功,9.605836391448975,480.744078874588
2023-12-21-03_43_49,41,直播成功,9.626583814620972,481.37930035591125
2023-12-21-03_52_14,42,直播成功,9.573305130004883,480.5360207557678
2023-12-21-04_00_41,43,直播失败,10.653501749038696,479.8370187282562
2023-12-21-04_09_07,44,直播成功,9.652661085128784,481.1169054508209
2023-12-21-04_17_33,45,直播成功,10.620422124862671,480.9501883983612
2023-12-21-04_25_59,46,直播成功,10.676244258880615,480.0811426639557
2023-12-21-04_34_25,47,直播成功,10.543907642364502,480.55810260772705
2023-12-21-04_42_51,48,直播成功,10.632418394088745,480.23723435401917
2023-12-21-04_51_19,49,直播成功,10.668399810791016,481.83262825012207
2023-12-21-04_59_44,50,直播失败,11.74085283279419,477.9249231815338
2023-12-21-05_08_11,51,直播成功,10.689100980758667,480.9556460380554
2023-12-21-05_16_37,52,直播失败,11.701044797897339,478.5722143650055
2023-12-21-05_25_03,53,直播成功,10.662419557571411,481.05229473114014
2023-12-21-05_33_30,54,直播成功,10.628491640090942,481.0815980434418
2023-12-21-05_41_56,55,直播成功,10.64919638633728,480.66876697540283
2023-12-21-05_50_20,56,直播失败,9.644677877426147,477.6843078136444
2023-12-21-05_58_45,57,直播失败,10.589762926101685,479.0971758365631
2023-12-21-06_07_10,58,直播成功,9.640543937683105,480.7133963108063
2023-12-21-06_15_36,59,直播成功,10.681342601776123,480.2032001018524
2023-12-21-06_24_02,60,直播成功,10.60094666481018,480.7120454311371
2023-12-21-06_32_28,61,直播成功,9.605045557022095,481.1530394554138
2023-12-21-06_40_55,62,直播成功,10.672582864761353,480.8010790348053
2023-12-21-06_49_21,63,直播成功,10.612394571304321,480.8332631587982
2023-12-21-06_57_46,64,直播失败,10.668952941894531,478.83380222320557
2023-12-21-07_06_13,65,直播成功,10.653664112091064,480.7161874771118
2023-12-21-07_14_39,66,直播成功,10.590214252471924,481.0855667591095
2023-12-21-07_23_06,67,直播成功,10.617888689041138,481.06497526168823
2023-12-21-07_31_32,68,直播成功,10.653786897659302,480.6756544113159
2023-12-21-07_39_58,69,直播成功,10.638116359710693,480.47213888168335
2023-12-21-07_48_28,70,直播成功,11.972919940948486,481.7558763027191
2023-12-21-07_56_55,71,直播成功,10.657382726669312,481.24053716659546
2023-12-21-08_05_23,72,直播成功,11.853336095809937,480.26155257225037
2023-12-21-08_13_51,73,直播失败,11.969661951065063,478.909193277359
2023-12-21-08_22_18,74,直播成功,10.720333576202393,480.6610174179077
2023-12-21-08_30_33,75,直播失败,4.504930019378662,473.2475469112396
2023-12-21-08_39_01,76,直播成功,10.852916240692139,481.62030005455017
2023-12-21-08_47_28,77,直播成功,10.661581754684448,480.8922107219696
