时间,测试次数,测试结果,直播加载时长,直播保持时长
2023-12-20-22_05_42,0,直播失败,11.062215566635132,478.4955794811249
2023-12-20-22_14_08,1,直播失败,10.83289885520935,479.4882092475891
2023-12-20-22_22_35,2,直播失败,11.869770765304565,478.9816780090332
2023-12-20-22_31_01,3,直播成功,9.689048290252686,481.5050013065338
2023-12-20-22_39_26,4,直播失败,10.6052987575531,479.2368166446686
2023-12-20-22_47_53,5,直播成功,10.747726917266846,480.24032950401306
2023-12-20-22_56_17,6,直播失败,10.74604868888855,478.403347492218
2023-12-20-23_04_44,7,直播成功,10.762149333953857,480.56692147254944
2023-12-20-23_13_11,8,直播成功,11.713911056518555,480.3066465854645
2023-12-20-23_21_37,9,直播成功,10.70500636100769,480.48821997642517
2023-12-20-23_30_04,10,直播成功,10.613544464111328,481.2769331932068
2023-12-20-23_38_30,11,直播成功,9.699904918670654,481.3139045238495
2023-12-20-23_46_56,12,直播失败,11.79782247543335,478.4916682243347
2023-12-20-23_55_23,13,直播成功,10.724869966506958,480.58104968070984
2023-12-21-00_03_48,14,直播失败,10.65286111831665,479.16978454589844
2023-12-21-00_12_15,15,直播成功,10.663013219833374,481.0904505252838
2023-12-21-00_20_41,16,直播成功,10.644704341888428,481.02416157722473
2023-12-21-00_29_08,17,直播成功,10.681386709213257,480.6803276538849
2023-12-21-00_29_54,18,无法进入直播,0,0
2023-12-21-00_38_20,19,直播失败,10.63219428062439,479.9223783016205
2023-12-21-00_46_47,20,直播成功,10.594585180282593,480.98764181137085
2023-12-21-00_55_12,21,直播失败,14.969642639160156,474.8358473777771
2023-12-21-01_03_38,22,直播失败,11.73005723953247,478.5921549797058
2023-12-21-01_12_04,23,直播成功,10.716319799423218,480.6689293384552
2023-12-21-01_20_30,24,直播失败,10.614083290100098,479.20824217796326
2023-12-21-01_28_55,25,直播成功,10.641319513320923,480.21304202079773
2023-12-21-01_37_22,26,直播成功,10.633095502853394,480.43496894836426
2023-12-21-01_45_48,27,直播成功,10.626312732696533,480.3927447795868
2023-12-21-01_54_13,28,直播失败,10.685911655426025,479.30879950523376
2023-12-21-02_02_39,29,直播成功,10.721659421920776,480.1084370613098
2023-12-21-02_11_04,30,直播失败,11.678982496261597,478.0264608860016
2023-12-21-02_19_31,31,直播成功,10.675535917282104,481.1381812095642
2023-12-21-02_27_57,32,直播失败,10.591633319854736,479.06868076324463
