时间,测试次数,测试结果,直播加载时长,直播保持时长
2023-12-14-20_34_28,0,直播成功,4.361023902893066,502.1192796230316
2023-12-14-20_43_11,1,直播成功,5.360168218612671,502.93156123161316
2023-12-14-20_51_54,2,直播成功,5.318049669265747,502.87900376319885
2023-12-14-21_00_37,3,直播成功,4.269123315811157,503.03895354270935
2023-12-14-21_09_19,4,直播成功,4.3564136028289795,502.0401794910431
2023-12-14-21_18_03,5,直播成功,5.361060380935669,503.380544424057
